Accuracy: 0.9433497536945813

Classification Report:
                                         precision    recall  f1-score   support

(vertigo) Paroymsal  Positional Vertigo       1.00      0.92      0.96        39
                                   AIDS       1.00      0.84      0.91        44
                                   Acne       1.00      0.84      0.91        38
                    Alcoholic hepatitis       1.00      0.92      0.96        39
                                Allergy       1.00      0.79      0.88        29
                              Arthritis       1.00      0.96      0.98        49
                       Bronchial Asthma       1.00      0.94      0.97        32
                   Cervical spondylosis       0.98      0.95      0.96        42
                            Chicken pox       1.00      0.97      0.99        38
                    Chronic cholestasis       0.82      0.84      0.83        37
                            Common Cold       1.00      1.00      1.00        31
                                 Dengue       1.00      1.00      1.00        38
                              Diabetes        1.00      1.00      1.00        36
           Dimorphic hemmorhoids(piles)       1.00      0.88      0.94        34
                          Drug Reaction       0.41      1.00      0.58        52
                       Fungal infection       1.00      0.88      0.94        50
                                   GERD       1.00      0.87      0.93        30
                        Gastroenteritis       1.00      0.93      0.97        46
                           Heart attack       0.90      0.90      0.90        42
                            Hepatitis B       0.96      0.96      0.96        46
                            Hepatitis C       0.93      0.95      0.94        42
                            Hepatitis D       1.00      0.88      0.94        34
                            Hepatitis E       1.00      1.00      1.00        40
                          Hypertension        1.00      0.97      0.99        36
                        Hyperthyroidism       1.00      1.00      1.00        46
                           Hypoglycemia       1.00      1.00      1.00        35
                         Hypothyroidism       1.00      1.00      1.00        44
                               Impetigo       1.00      0.94      0.97        48
                               Jaundice       1.00      0.95      0.97        39
                                Malaria       1.00      1.00      1.00        44
                               Migraine       1.00      0.88      0.94        34
                        Osteoarthristis       1.00      0.95      0.97        41
           Paralysis (brain hemorrhage)       1.00      0.97      0.99        38
                    Peptic ulcer diseae       1.00      0.93      0.96        41
                              Pneumonia       1.00      1.00      1.00        40
                              Psoriasis       1.00      0.92      0.96        50
                           Tuberculosis       1.00      1.00      1.00        33
                                Typhoid       1.00      0.95      0.97        41
                Urinary tract infection       1.00      0.98      0.99        43
                         Varicose veins       1.00      0.94      0.97        33
                            hepatitis A       1.00      1.00      1.00        30

                               accuracy                           0.94      1624
                              macro avg       0.98      0.94      0.95      1624
                           weighted avg       0.97      0.94      0.95      1624


Confusion Matrix:
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  46   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  35   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  44   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0  45   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0  37   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  44   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  30   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  39   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  37   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  38   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  40   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  46   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  33   0   0   0   0
  0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  39   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  42   0   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  31   0
  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  30
